table_name,var_order,sort,indicator,sub_indicator,outline,variable_name_original,variable_name_split,level_01,level_2,category,year,variable_description,variable_type,variable_width,decimal_places,tables
CEX21_01,1,1,DEFR,alcohol,1,X2001_X,X2001,X20,1,X,2021,Alcoholic Beverages,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_03,688,190,HI,higher_ed,3.1.,X11002_X,X11002,X11,2,X,2021,College Tuition,N,15,0,2021 Education (Consumer Spending)
CEX21_03,694,196,HI,voc_ed,3.3.,X11004_X,X11004,X11,4,X,2021,Vocational & Technical School Tuition,N,15,0,2021 Education (Consumer Spending)
CEX21_03,703,205,HI,higher_ed,3.6.,X11006_X,X11006,X11,6,X,2021,Other School Expenses Incl Book Rental/Equipment,N,15,0,2021 Education (Consumer Spending)
CEX21_03,706,208,HI,higher_ed,3.7.,X11007_X,X11007,X11,7,X,2021,College Books & Supplies,N,15,0,2021 Education (Consumer Spending)
CEX21_03,712,214,HI,voc_ed,3.9.,X11009_X,X11009,X11,9,X,2021,Vocational & Technical School Books & Supplies,N,15,0,2021 Education (Consumer Spending)
CEX21_06,1267,22,CDE,vehicle,29,X14028_X,X14028,X140,28,X,2021,New Cars/Trucks/Vans Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1279,34,CDE,vehicle,30,X14032_X,X14032,X140,32,X,2021,Used Cars/Trucks/Vans Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1291,46,CDE,vehicle,31,X14036_X,X14036,X140,36,X,2021,Campers Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1306,61,CDE,vehicle,32,X14043_X,X14043,X140,43,X,2021,Boats/Trailers Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1315,70,CDE,vehicle,33,X14080_X,X14080,X140,80,X,2021,Motorcycles/Motor Scooters/Mopeds Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1324,79,CDE,vehicle,34,X14081_X,X14081,X140,81,X,2021,Other Vehicles Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1333,88,CDE,vehicle,35,X14054_X,X14054,X140,54,X,2021,New Cars/Trucks/Vans (net outlay) Not Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1336,91,CDE,vehicle,36,X14055_X,X14055,X140,55,X,2021,Used Cars/Trucks/Vans (net outlay) Not Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1339,94,CDE,vehicle,37,X14082_X,X14082,X140,82,X,2021,Motorcycles/Motor Scooters/Mopeds (net outlay) Not Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1342,97,CDE,vehicle,38,X14057_X,X14057,X140,57,X,2021,Campers/Boats/Trailers (net outlay) Not Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_06,1345,100,CDE,vehicle,39,X14083_X,X14083,X140,83,X,2021,Other Vehicles Not Financed,N,15,0,2021 Financial (Consumer Spending)
CEX21_10,2257,16,DEFR,medical,45,X8001_X,X8001,X80,1,X,2021,Health Care,N,15,0,2021 Health Care (Consumer Spending)
CEX21_11,2569,79,CDE,furnishings,47,X4043_X,X4043,X40,43,X,2021,Household Furnishings & Equipment,N,15,0,2021 Household Goods (Consumer Spending)
CEX21_12,2980,241,DEFR,household_security,48.2.2.,X4015_X,X4015,X40,15,X,2021,Home Security System Services,N,15,0,2021 Household Services (Consumer Spending)
CEX21_13,3169,181,HI,home_improvement,49.1.1.2.,X3010_X,X3010,X30,10,X,2021,Maintenance & Remodeling Services (Owner),N,15,0,2021 Housing (Consumer Spending)
CEX21_13,3196,208,HI,home_improvement,49.1.1.3.,X3019_X,X3019,X30,19,X,2021,Maintenance & Remodeling Materials (Owner),N,15,0,2021 Housing (Consumer Spending)
