table_name,var_order,sort,indicator,sub_indicator,outline,variable_name_original,variable_name_split,level_01,level_2,category,year,variable_description,variable_type,variable_width,decimal_places,tables
CEX21_01,1,1,DEFR,alcohol,1,X2001_X,X2001,X20,1,X,2021,Alcoholic Beverages,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,4,4,,,1.1.,X2002_X,X2002,X20,2,X,2021,Alcoholic Beverages at Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,7,7,,,1.1.1.,X2003_X,X2003,X20,3,X,2021,Beer & Ale At Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,10,10,,,1.1.2.,X2004_X,X2004,X20,4,X,2021,Whiskey At Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,13,13,,,1.1.3.,X2005_X,X2005,X20,5,X,2021,Wine At Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,16,16,,,1.1.4.,X2006_X,X2006,X20,6,X,2021,Other Alcohol At Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,19,19,,,1.2.,X2007_X,X2007,X20,7,X,2021,Alcoholic Beverages Away from Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,22,22,,,1.2.1.1.,X2008_X,X2008,X20,8,X,2021,Beer & Ale Away from Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,25,25,,,1.2.1.2.,X2009_X,X2009,X20,9,X,2021,Beer & Ale at Full Service Restaurant,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,28,28,,,1.2.1.3.,X2010_X,X2010,X20,10,X,2021,Beer & Ale at Fast Food/Take-Out/Delivery/Vending,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,31,31,,,1.3.,X2011_X,X2011,X20,11,X,2021,Wine Away from Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,34,34,,,1.3.1.,X2012_X,X2012,X20,12,X,2021,Wine at Full Service Restaurant,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,37,37,,,1.3.2.,X2013_X,X2013,X20,13,X,2021,Wine at Fast Food/Take-Out/Delivery/Vending,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,40,40,,,1.4.,X2014_X,X2014,X20,14,X,2021,Other Alcohol Away from Home,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,43,43,,,1.4.1.,X2015_X,X2015,X20,15,X,2021,Other Alcohol at Full Service Restaurant,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,46,46,,,1.4.2.,X2016_X,X2016,X20,16,X,2021,Other Alcohol at Fast Food/Take-Out/Delivery/Vending,N,15,0,2021 Alcoholic Beverages (Consumer Spending)
CEX21_01,97,97,,,2,X5001_X,X5001,X50,1,X,2021,Apparel & Services,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,100,100,,,2.1.,X5002_X,X5002,X50,2,X,2021,Men`s Apparel,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,103,103,,,2.1.1.,X5003_X,X5003,X50,3,X,2021,Men`s Suits,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,106,106,,,2.1.2.,X5004_X,X5004,X50,4,X,2021,Men`s Sport Coats,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,109,109,,,2.1.3.,X5005_X,X5005,X50,5,X,2021,Men`s Coats & Jackets,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,112,112,,,2.1.4.,X5006_X,X5006,X50,6,X,2021,Men`s Underwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,115,115,,,2.1.5.,X5007_X,X5007,X50,7,X,2021,Men`s Hosiery,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,118,118,,,2.1.6.,X5008_X,X5008,X50,8,X,2021,Men`s Accessories,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,121,121,,,2.1.7.,X5080_X,X5080,X50,80,X,2021,Men`s Shirts/Sweaters/Vests,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,124,124,,,2.1.8.,X5083_X,X5083,X50,83,X,2021,Men's Swimwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,127,127,,,2.1.9.,X5012_X,X5012,X50,12,X,2021,Men`s Pants & Shorts,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,130,130,,,2.1.10.,X5013_X,X5013,X50,13,X,2021,Men`s Sleepwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,133,133,,,2.1.11.,X5014_X,X5014,X50,14,X,2021,Men`s Uniforms,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,136,136,,,2.1.12.,X5015_X,X5015,X50,15,X,2021,Men`s Costumes,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,139,139,,,2.1.13.,X5016_X,X5016,X50,16,X,2021,Women`s Apparel,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,142,142,,,2.2.,X5017_X,X5017,X50,17,X,2021,Women`s Dresses,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,145,145,,,2.2.1.,X5018_X,X5018,X50,18,X,2021,Women`s Coats & Jackets,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,148,148,,,2.2.2.,X5019_X,X5019,X50,19,X,2021,Women`s Sport Coats & Tailored Jackets,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,151,151,,,2.2.3.,X5081_X,X5081,X50,81,X,2021,Women`s Shirts/Tops/Blouses/Sweaters/Vests,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,154,154,,,2.2.4.,X5022_X,X5022,X50,22,X,2021,Women`s Skirts,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,157,157,,,2.2.5.,X5023_X,X5023,X50,23,X,2021,Women`s Pants & Shorts,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,160,160,,,2.2.6.,X5085_X,X5085,X50,85,X,2021,Women's Swimwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,163,163,,,2.2.7.,X5025_X,X5025,X50,25,X,2021,Women`s Sleepwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,166,166,,,2.2.8.,X5026_X,X5026,X50,26,X,2021,Women`s Undergarments,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,169,169,,,2.2.9.,X5027_X,X5027,X50,27,X,2021,Women`s Hosiery,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,172,172,,,2.2.10.,X5028_X,X5028,X50,28,X,2021,Women`s Suits,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,175,175,,,2.2.11.,X5029_X,X5029,X50,29,X,2021,Women`s Accessories,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,178,178,,,2.2.12.,X5030_X,X5030,X50,30,X,2021,Women`s Uniforms,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,181,181,,,2.2.13.,X5031_X,X5031,X50,31,X,2021,Women`s Costumes,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,184,184,,,2.3.,X5032_X,X5032,X50,32,X,2021,Children`s Apparel,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,187,187,,,2.3.1.,X5033_X,X5033,X50,33,X,2021,Boys` Apparel,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,190,190,,,2.3.1.1.,X5034_X,X5034,X50,34,X,2021,Boys` Coats & Jackets,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,193,193,,,2.3.1.2.,X5082_X,X5082,X50,82,X,2021,Boys` Shirts/Sweaters,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,196,196,,,2.3.1.3.,X5037_X,X5037,X50,37,X,2021,Boys` Underwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,199,199,,,2.3.1.4.,X5038_X,X5038,X50,38,X,2021,Boys` Hosiery,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,202,202,,,2.3.1.5.,X5039_X,X5039,X50,39,X,2021,Boys` Accessories,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,205,205,,,2.3.1.6.,X5040_X,X5040,X50,40,X,2021,Boys` Suits/Sport Coats/Vests,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,208,208,,,2.3.1.7.,X5041_X,X5041,X50,41,X,2021,Boys` Pants & Shorts,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,211,211,,,2.3.1.8.,X5042_X,X5042,X50,42,X,2021,Boys` Uniforms,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,214,214,,,2.3.1.9.,X5084_X,X5084,X50,84,X,2021,Boy's Swimwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,217,217,,,2.3.1.10.,X5044_X,X5044,X50,44,X,2021,Boys` Sleepwear,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,220,220,,,2.3.1.11.,X5045_X,X5045,X50,45,X,2021,Boys` Costumes,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,223,223,,,2.4.,X5046_X,X5046,X50,46,X,2021,Girls` Apparel,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,226,226,,,2.4.1.,X5047_X,X5047,X50,47,X,2021,Girls` Coats & Jackets,N,15,0,2021 Apparel (Consumer Spending)
CEX21_01,229,229,,,2.4.2.,X5048_X,X5048,X50,48,X,2021,Girls` Dresses & Suits,N,15,0,2021 Apparel (Consumer Spending)
